                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 2.3433,                 3.1414,                 2.6757,                0.00333,                      1,                0.01508,                0.00363,                  3.089,                 3.6662,                 3.0873,             0.00039575,             0.00039575,             0.00039575
                     76,                 2.2838,                 3.0319,                 2.4501,                0.00333,                      1,                0.01508,                0.00363,                  3.089,                 3.6662,                 3.0873,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.2754,                  2.736,                 2.4467,                0.00333,                      1,                0.01508,                0.00363,                  3.089,                 3.6662,                 3.0873,             0.00037635,             0.00037635,             0.00037635
                     78,                 2.3411,                 2.9497,                 2.4704,                0.00333,                      1,                0.01463,                0.00351,                 3.1395,                 3.6621,                 3.0993,             0.00036606,             0.00036606,             0.00036606
                     79,                 2.4364,                 3.0243,                  2.551,                0.00333,                      1,                0.01463,                0.00351,                 3.1395,                 3.6621,                 3.0993,             0.00035537,             0.00035537,             0.00035537
                     80,                 2.2935,                 3.1431,                 2.5128,                0.00333,                      1,                0.01463,                0.00351,                 3.1395,                 3.6621,                 3.0993,             0.00034428,             0.00034428,             0.00034428
                     81,                 2.1638,                 3.8603,                 2.4505,                0.00333,                      1,                0.01547,                0.00376,                 3.2026,                 3.6799,                 3.1303,              0.0003328,              0.0003328,              0.0003328
                     82,                 2.3485,                  3.536,                  2.424,                0.00333,                      1,                0.01547,                0.00376,                 3.2026,                 3.6799,                 3.1303,             0.00032092,             0.00032092,             0.00032092
                     83,                 2.5229,                 3.0616,                 2.4801,                0.00333,                      1,                0.01547,                0.00376,                 3.2026,                 3.6799,                 3.1303,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.1106,                 3.0975,                 2.4163,                0.00333,                      1,                0.01677,                0.00321,                 3.2153,                 3.6848,                 3.1419,             0.00029598,             0.00029598,             0.00029598
                     85,                 2.5846,                 3.0019,                 2.7191,                0.00333,                      1,                0.01677,                0.00321,                 3.2153,                 3.6848,                 3.1419,             0.00028291,             0.00028291,             0.00028291
                     86,                  2.283,                 3.1369,                 2.5418,                0.00333,                      1,                0.01677,                0.00321,                 3.2153,                 3.6848,                 3.1419,             0.00026945,             0.00026945,             0.00026945
                     87,                 2.1748,                 3.0832,                 2.4569,                0.00333,                      1,                0.01677,                0.00321,                 3.2153,                 3.6848,                 3.1419,             0.00025559,             0.00025559,             0.00025559
                     88,                 2.4204,                 2.7878,                 2.5292,                0.00333,                      1,                 0.0199,                0.00367,                 3.2107,                 3.6938,                  3.144,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.4435,                 3.1814,                 2.5989,                0.00333,                      1,                 0.0199,                0.00367,                 3.2107,                 3.6938,                  3.144,             0.00022669,             0.00022669,             0.00022669
                     90,                 2.3809,                 2.8501,                 2.6543,                0.00333,                      1,                 0.0199,                0.00367,                 3.2107,                 3.6938,                  3.144,             0.00021164,             0.00021164,             0.00021164
                     91,                 1.8979,                 3.2814,                 2.4202,                0.00333,                      1,                 0.0199,                0.00367,                 3.2107,                 3.6938,                  3.144,              0.0001962,              0.0001962,              0.0001962
                     92,                 1.9395,                 3.3812,                 2.5022,                0.00333,                      1,                0.02179,                 0.0037,                  3.218,                 3.7199,                 3.1591,             0.00018036,             0.00018036,             0.00018036
                     93,                 1.7348,                   3.14,                 2.2849,                0.00333,                      1,                0.02179,                 0.0037,                  3.218,                 3.7199,                 3.1591,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.1411,                 3.1509,                 2.7225,                0.00333,                      1,                0.02179,                 0.0037,                  3.218,                 3.7199,                 3.1591,              0.0001475,              0.0001475,              0.0001475
                     95,                 1.7979,                 2.9917,                 2.2911,                0.00333,                      1,                0.02179,                 0.0037,                  3.218,                 3.7199,                 3.1591,             0.00013047,             0.00013047,             0.00013047
                     96,                 1.8391,                 3.6578,                 2.2425,                0.00333,                      1,                0.02244,                 0.0038,                 3.1919,                 3.7563,                 3.1774,             0.00011305,             0.00011305,             0.00011305
                     97,                 1.8616,                 3.4257,                 2.3933,                0.00333,                      1,                0.02244,                 0.0038,                 3.1919,                 3.7563,                 3.1774,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                   1.96,                 3.4144,                 2.4358,                0.00333,                      1,                0.02244,                 0.0038,                 3.1919,                 3.7563,                 3.1774,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 1.6651,                 3.3578,                 2.1963,                0.00333,                      1,                0.02244,                 0.0038,                 3.1919,                 3.7563,                 3.1774,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 1.6924,                 3.2331,                 2.1377,                0.00333,                      1,                0.02279,                  0.004,                 3.1764,                 3.7792,                 3.1675,             3.9402e-05,             3.9402e-05,             3.9402e-05
